23.88638, 61.17154, Akaa,
23.81151, 63.00019, Alajärvi,
23.61784, 62.58835, Alavus,
26.82929, 60.70363, Anjalankoski,
24.65420, 60.20507, Espoo,
23.62103, 60.81419, Forssa,
25.31663, 63.75552, Haapajärvi,
25.36563, 64.14236, Haapavesi,
27.19582, 60.56981, Hamina,
22.96929, 59.82310, Hanko,
22.14147, 61.31537, Harjavalta,
26.03387, 61.20291, Heinola,
24.93841, 60.16988, Helsinki,
22.69874, 61.17818, Huittinen,
24.86320, 60.63148, Hyvinkää,
24.46424, 60.99602, Hämeenlinna,
27.19129, 63.55916, Iisalmi,
23.07405, 61.76752, Ikaalinen,
28.75308, 61.17215, Imatra,
29.76353, 62.60099, Joensuu,
28.50795, 61.11826, Joutseno,
28.33159, 63.06479, Juankoski,
25.74263, 62.24039, Jyväskylä,
25.19487, 61.86412, Jämsä,
25.17534, 61.91833, Jämsänkoski,
25.09042, 60.47395, Järvenpää,
22.36826, 60.40717, Kaarina,
27.72622, 64.22713, Kajaani,
23.94758, 64.25787, Kalajoki,
22.40009, 61.80331, Kankaanpää,
23.91507, 63.89851, Kannus,
23.66193, 60.07139, Karjaa,
24.21060, 60.53414, Karkkila,
21.22350, 62.38434, Kaskinen,
22.18045, 62.42166, Kauhajoki,
23.06818, 63.10307, Kauhava,
24.72848, 60.21215, Kauniainen,
24.56363, 65.73609, Kemi,
27.42938, 66.71589, Kemijärvi,
25.10462, 60.40342, Kerava,
24.70777, 62.25540, Keuruu,
30.13625, 62.10088, Kitee,
26.61421, 63.65197, Kiuruvesi,
22.35702, 61.25637, Kokemäki,
23.13048, 63.83848, Kokkola,
26.94601, 60.46663, Kotka,
26.70405, 60.86790, Kouvola,
21.37719, 62.27412, Kristiinankaupunki,
29.51048, 64.12651, Kuhmo,
27.67933, 62.89333, Kuopio,
22.39857, 62.61715, Kurikka,
29.17065, 65.96839, Kuusamo,
26.62445, 60.90804, Kuusankoski,
25.66164, 60.98257, Lahti,
21.69729, 60.87449, Laitila,
28.18696, 61.05844, Lappeenranta,
23.04501, 62.97145, Lapua,
30.02585, 63.32110, Lieksa,
24.06555, 60.24960, Lohja,
23.05535, 60.85116, Loimaa,
26.22550, 60.45699, Loviisa,
19.92239, 60.09926, Maarianhamina,
27.27217, 61.68852, Mikkeli,
24.62364, 62.02990, Mänttä,
22.02423, 60.46742, Naantali,
28.08144, 63.20682, Nilsiä,
24.95710, 63.92998, Nivala,
23.51117, 61.47827, Nokia,
29.13968, 63.54197, Nurmes,
21.35935, 62.46620, Närpiö,
25.73115, 60.80287, Orimattila,
24.35449, 61.67550, Orivesi,
24.82182, 64.26865, Oulainen,
25.47139, 65.01265, Oulu,
29.01625, 62.72656, Outokumpu,
22.68701, 60.45680, Paimio,
22.30078, 60.30686, Parainen,
23.02252, 62.01472, Parkano,
27.16023, 62.29992, Pieksämäki,
22.70366, 63.67467, Pietarsaari,
21.79746, 61.48519, Pori,
25.66458, 60.39284, Porvoo,
26.98441, 65.36018, Pudasjärvi,
25.98355, 63.68259, Pyhäjärvi,
24.47914, 64.68413, Raahe,
22.16897, 60.48590, Raisio,
21.51131, 61.12718, Rauma,
24.77290, 60.73850, Riihimäki,
25.71994, 66.49787, Rovaniemi,
25.22675, 62.70917, Saarijärvi,
23.12620, 60.38574, Salo,
28.88005, 61.86993, Savonlinna,
22.83992, 62.79035, Seinäjoki,
23.51648, 60.62974, Somero,
27.11967, 62.62461, Suonenjoki,
23.43552, 59.97444, Tammisaari,
23.76486, 61.49802, Tampere,
24.14679, 65.84810, Tornio,
22.26873, 60.45143, Turku,
21.87121, 61.42851, Ulvila,
22.53069, 63.52163, Uusikaarlepyy,
21.40893, 60.80031, Uusikaupunki,
21.61627, 63.09525, Vaasa,
24.03088, 61.26540, Valkeakoski,
22.91320, 61.34097, Vammala,
25.04029, 60.29435, Vantaa,
27.87312, 62.31509, Varkaus,
25.85206, 63.08200, Viitasaari,
23.74630, 62.23745, Virrat,
24.54008, 64.07129, Ylivieska,
26.30494, 61.98437, Yläjärvi,
24.06241, 62.55397, Ähtäri,
25.72484, 62.60437, Äänekoski,
